Governrator,birth_16
Al Sharqia Governorate,187387
Alexandria Governorate,124672
Aswan Governorate,42668
Asyut Governorate,144177
Beheira Governorate,223139
Beni Suef Governorate,101453
Cairo Governorate,241248
Dakahlia Governorate,155962
Damietta Governorate,37073
Faiyum Governorate,111325
Gharbiyya Governorate,125244
Giza Governorate,223139
Ismailia Governorate,37636
Kafr el-Sheikh Governorate,90373
Luxor Governate,34189
Matrouh Governorate,23230
Minya Governate,177481
Monufia Governorate,114738
New Valley Governorate,6177
North Sinai Governorate,11686
Port Said Governorate,15301
Qalyubia Governorate,133652
Qena Governorate,98810
Red Sea Governorate,9587
Sohag Governorate,153496
South Sinai Governorate,3372
Suez Governorate,16844
